phrase,category,final_score,quality_classification,decision,distinctiveness_score,describability_score,legacy_heuristics_score,cultural_validation_score,duration_ms,timestamp,error
"Tesla Motors","Brands & Companies",11.42,unacceptable,[object Object],0,5,6.5,0,23,2025-07-31T15:45:50.321Z,
"Toyota Prius","Brands & Companies",11.42,unacceptable,[object Object],0,5,6.5,0,23,2025-07-31T15:45:50.321Z,
"Uber Ride","Brands & Companies",13.50,unacceptable,[object Object],0,5,9,0,22,2025-07-31T15:45:50.322Z,
"Ballet Flats","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,22,2025-07-31T15:45:50.322Z,
"Baseball Cap","Clothing & Fashion",25.67,poor,[object Object],0,5,14,8,22,2025-07-31T15:45:50.322Z,
"Cargo Pants","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,22,2025-07-31T15:45:50.322Z,
"Catwalk Model","Clothing & Fashion",5.42,unacceptable,[object Object],0,0,6.5,0,22,2025-07-31T15:45:50.322Z,
"Corduroy Pants","Clothing & Fashion",10.38,unacceptable,[object Object],0,5,5.25,0,22,2025-07-31T15:45:50.322Z,
"Cotton T-shirt","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,22,2025-07-31T15:45:50.322Z,
"Denim Jacket","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,22,2025-07-31T15:45:50.322Z,
"Denim Jeans","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,21,2025-07-31T15:45:50.323Z,
"Denim Overalls","Clothing & Fashion",10.38,unacceptable,[object Object],0,5,5.25,0,21,2025-07-31T15:45:50.323Z,
"Designer Handbag","Clothing & Fashion",10.38,unacceptable,[object Object],0,5,5.25,0,21,2025-07-31T15:45:50.323Z,
"Evening Gown","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,21,2025-07-31T15:45:50.323Z,
"Fashion Magazine","Clothing & Fashion",20.38,poor,[object Object],0,5,5.25,10,21,2025-07-31T15:45:50.323Z,
"Fashion Runway","Clothing & Fashion",21.42,poor,[object Object],0,5,6.5,10,21,2025-07-31T15:45:50.323Z,
"Fedora Hat","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,21,2025-07-31T15:45:50.323Z,
"High Heel Shoes","Clothing & Fashion",19.19,unacceptable,[object Object],0,5,15.83,0,82,2025-07-31T15:45:50.344Z,
"High Heels","Clothing & Fashion",20.79,poor,[object Object],0,5,17.75,0,80,2025-07-31T15:45:50.345Z,
"Leather Belt","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,80,2025-07-31T15:45:50.345Z,
"Leather Boots","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,80,2025-07-31T15:45:50.345Z,
"Leather Jacket","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,80,2025-07-31T15:45:50.345Z,
"Little Black Dress","Clothing & Fashion",12.25,unacceptable,[object Object],0,5,7.5,0,81,2025-07-31T15:45:50.345Z,
"Patterned Socks","Clothing & Fashion",10.38,unacceptable,[object Object],0,5,5.25,0,80,2025-07-31T15:45:50.345Z,
"Plaid Shirt","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,80,2025-07-31T15:45:50.345Z,
"Running Shoes","Clothing & Fashion",24.63,poor,[object Object],0,5,12.75,8,80,2025-07-31T15:45:50.345Z,
"Runway Model","Clothing & Fashion",5.42,unacceptable,[object Object],0,0,6.5,0,80,2025-07-31T15:45:50.345Z,
"Shopping Spree","Clothing & Fashion",20.38,poor,[object Object],0,5,5.25,10,79,2025-07-31T15:45:50.346Z,
"Silk Scarf","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,79,2025-07-31T15:45:50.346Z,
"Skinny Jeans","Clothing & Fashion",11.42,unacceptable,[object Object],0,5,6.5,0,79,2025-07-31T15:45:50.346Z,
"Sneaker Collection","Clothing & Fashion",10.38,unacceptable,[object Object],0,5,5.25,0,79,2025-07-31T15:45:50.346Z,
"Sweater Vest","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,79,2025-07-31T15:45:50.346Z,
"Trench Coat","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,79,2025-07-31T15:45:50.346Z,
"Trendy Sunglasses","Clothing & Fashion",10.38,unacceptable,[object Object],0,5,5.25,0,78,2025-07-31T15:45:50.347Z,
"Turtleneck Sweater","Clothing & Fashion",10.38,unacceptable,[object Object],0,5,5.25,0,78,2025-07-31T15:45:50.347Z,
"Vintage Clothing","Clothing & Fashion",10.38,unacceptable,[object Object],0,5,5.25,0,78,2025-07-31T15:45:50.347Z,
"Vintage Hat","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,78,2025-07-31T15:45:50.347Z,
"Wedding Dress","Clothing & Fashion",29.42,poor,[object Object],0,20,6.5,0,5,2025-07-31T15:45:50.347Z,
"Winter Coat","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,78,2025-07-31T15:45:50.347Z,
"Wool Sweater","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,78,2025-07-31T15:45:50.347Z,
"Angry Face","Emotions & Feelings",35.67,poor,[object Object],0,20,14,0,5,2025-07-31T15:45:50.347Z,
"Angry Outburst","Emotions & Feelings",15.58,unacceptable,[object Object],0,5,11.5,0,78,2025-07-31T15:45:50.347Z,
"Angry Stomp","Emotions & Feelings",16.63,unacceptable,[object Object],0,5,12.75,0,78,2025-07-31T15:45:50.347Z,
"Blushing Cheeks","Emotions & Feelings",10.38,unacceptable,[object Object],0,5,5.25,0,77,2025-07-31T15:45:50.348Z,
"Blushing Face","Emotions & Feelings",29.42,poor,[object Object],0,20,6.5,0,4,2025-07-31T15:45:50.348Z,
"Bored Yawn","Emotions & Feelings",12.46,unacceptable,[object Object],0,5,7.75,0,77,2025-07-31T15:45:50.348Z,
"Bubbling Excitement","Emotions & Feelings",9.33,unacceptable,[object Object],0,5,4,0,77,2025-07-31T15:45:50.348Z,
"Burst of Laughter","Emotions & Feelings",17.81,unacceptable,[object Object],0,5,14.17,0,78,2025-07-31T15:45:50.348Z,
"Bursting with Pride","Emotions & Feelings",17.81,unacceptable,[object Object],0,5,14.17,0,78,2025-07-31T15:45:50.348Z,
"Calm and Collected","Emotions & Feelings",18.50,unacceptable,[object Object],0,5,15,0,78,2025-07-31T15:45:50.348Z,
"Confused Look","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,77,2025-07-31T15:45:50.348Z,
"Content Smile","Emotions & Feelings",5.42,unacceptable,[object Object],0,0,6.5,0,77,2025-07-31T15:45:50.348Z,
"Crying Baby","Emotions & Feelings",18.71,unacceptable,[object Object],0,5,15.25,0,77,2025-07-31T15:45:50.348Z,
"Crying Tears","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,76,2025-07-31T15:45:50.349Z,
"Crying with Laughter","Emotions & Feelings",17.81,unacceptable,[object Object],0,5,14.17,0,77,2025-07-31T15:45:50.349Z,
"Deeply Moved","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,76,2025-07-31T15:45:50.349Z,
"Excited Cheer","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,76,2025-07-31T15:45:50.349Z,
"Excited Jump","Emotions & Feelings",12.46,unacceptable,[object Object],0,5,7.75,0,76,2025-07-31T15:45:50.349Z,
"Fearful Scream","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,76,2025-07-31T15:45:50.349Z,
"Fearful Shiver","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,76,2025-07-31T15:45:50.349Z,
"Feeling Anxious","Emotions & Feelings",5.42,unacceptable,[object Object],0,0,6.5,0,76,2025-07-31T15:45:50.349Z,
"Feeling Blue","Emotions & Feelings",6.46,unacceptable,[object Object],0,0,7.75,0,76,2025-07-31T15:45:50.349Z,
"Feeling Loved","Emotions & Feelings",5.42,unacceptable,[object Object],0,0,6.5,0,76,2025-07-31T15:45:50.349Z,
"Feeling Peaceful","Emotions & Feelings",7.98,unacceptable,[object Object],0,3,5.25,0,75,2025-07-31T15:45:50.350Z,
"Feeling Proud","Emotions & Feelings",5.42,unacceptable,[object Object],0,0,6.5,0,75,2025-07-31T15:45:50.350Z,
"Feeling Sad","Emotions & Feelings",10.63,unacceptable,[object Object],0,0,12.75,0,75,2025-07-31T15:45:50.350Z,
"Frustrated Grunt","Emotions & Feelings",10.38,unacceptable,[object Object],0,5,5.25,0,75,2025-07-31T15:45:50.350Z,
"Green with Envy","Emotions & Feelings",19.19,unacceptable,[object Object],0,5,15.83,0,10,2025-07-31T15:45:50.426Z,
"Grinning Ear-to-Ear","Emotions & Feelings",9.33,unacceptable,[object Object],0,5,4,0,10,2025-07-31T15:45:50.426Z,
"Guilty Face","Emotions & Feelings",30.46,poor,[object Object],0,20,7.75,0,7,2025-07-31T15:45:50.426Z,
"Happy Dance","Emotions & Feelings",16.63,unacceptable,[object Object],0,5,12.75,0,8,2025-07-31T15:45:50.426Z,
"Head Over Heels","Emotions & Feelings",13.64,unacceptable,[object Object],0,5,9.17,0,10,2025-07-31T15:45:50.426Z,
"Heart Break","Emotions & Feelings",29.42,poor,[object Object],0,20,6.5,0,7,2025-07-31T15:45:50.426Z,
"Heartfelt Hug","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,7,2025-07-31T15:45:50.427Z,
"Hopeful Wish","Emotions & Feelings",12.46,unacceptable,[object Object],0,5,7.75,0,7,2025-07-31T15:45:50.427Z,
"Jealous Glare","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,7,2025-07-31T15:45:50.427Z,
"Jumping For Joy","Emotions & Feelings",19.19,unacceptable,[object Object],0,5,15.83,0,9,2025-07-31T15:45:50.427Z,
"Jumping for Joy","Emotions & Feelings",19.19,unacceptable,[object Object],0,5,15.83,0,9,2025-07-31T15:45:50.427Z,
"Laughing Out Loud","Emotions & Feelings",12.94,unacceptable,[object Object],0,5,8.33,0,9,2025-07-31T15:45:50.427Z,
"Love Struck","Emotions & Feelings",18.71,unacceptable,[object Object],0,5,15.25,0,6,2025-07-31T15:45:50.427Z,
"Madly in Love","Emotions & Feelings",23.36,poor,[object Object],0,5,20.83,0,8,2025-07-31T15:45:50.427Z,
"Nervous Sweat","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,7,2025-07-31T15:45:50.427Z,
"Nervous Sweats","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,7,2025-07-31T15:45:50.427Z,
"Nervous Twitch","Emotions & Feelings",19.42,unacceptable,[object Object],0,5,6.5,8,7,2025-07-31T15:45:50.427Z,
"Nervous Wreck","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,7,2025-07-31T15:45:50.427Z,
"On Cloud Nine","Emotions & Feelings",19.19,unacceptable,[object Object],0,5,15.83,0,9,2025-07-31T15:45:50.427Z,
"Over the Moon","Emotions & Feelings",37.89,poor,[object Object],0,20,16.67,0,8,2025-07-31T15:45:50.427Z,
"Panic Attack","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,6,2025-07-31T15:45:50.428Z,
"Proud Moment","Emotions & Feelings",5.42,unacceptable,[object Object],0,0,6.5,0,6,2025-07-31T15:45:50.428Z,
"Proud Pose","Emotions & Feelings",12.46,unacceptable,[object Object],0,5,7.75,0,6,2025-07-31T15:45:50.428Z,
"Radiating Happiness","Emotions & Feelings",9.33,unacceptable,[object Object],0,5,4,0,5,2025-07-31T15:45:50.428Z,
"Red with Rage","Emotions & Feelings",19.89,unacceptable,[object Object],0,5,16.67,0,8,2025-07-31T15:45:50.428Z,
"Scared Scream","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,6,2025-07-31T15:45:50.428Z,
"Shaking with Fear","Emotions & Feelings",19.19,unacceptable,[object Object],0,5,15.83,0,8,2025-07-31T15:45:50.428Z,
"Shocked Expression","Emotions & Feelings",10.38,unacceptable,[object Object],0,5,5.25,0,6,2025-07-31T15:45:50.428Z,
"Shy Smile","Emotions & Feelings",12.46,unacceptable,[object Object],0,5,7.75,0,6,2025-07-31T15:45:50.428Z,
"Sigh Of Relief","Emotions & Feelings",19.19,unacceptable,[object Object],0,5,15.83,0,8,2025-07-31T15:45:50.428Z,
"Surprised Face","Emotions & Feelings",29.42,poor,[object Object],0,20,6.5,0,5,2025-07-31T15:45:50.428Z,
"Action Figure","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,6,2025-07-31T15:45:50.428Z,
"Adele Album","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,6,2025-07-31T15:45:50.428Z,
"Amazon","Entertainment & Pop Culture",23.92,poor,[object Object],0,5,3.5,15,4,2025-07-31T15:45:50.428Z,
"Apple","Entertainment & Pop Culture",31.92,poor,[object Object],0,5,3.5,23,3,2025-07-31T15:45:50.429Z,
"Avengers Endgame","Entertainment & Pop Culture",18.38,unacceptable,[object Object],0,5,5.25,8,5,2025-07-31T15:45:50.429Z,
"Avengers Movie","Entertainment & Pop Culture",38.58,poor,[object Object],0,5,11.5,23,5,2025-07-31T15:45:50.429Z,
"Beyonce Concert","Entertainment & Pop Culture",22.54,poor,[object Object],0,5,10.25,8,5,2025-07-31T15:45:50.429Z,
"Billie Eilish","Entertainment & Pop Culture",21.42,poor,[object Object],0,5,6.5,10,5,2025-07-31T15:45:50.429Z,
"Binge Watching","Entertainment & Pop Culture",10.38,unacceptable,[object Object],0,5,5.25,0,5,2025-07-31T15:45:50.429Z,
"Blockbuster Hit","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,5,2025-07-31T15:45:50.429Z,
"Broadway Musical","Entertainment & Pop Culture",10.38,unacceptable,[object Object],0,5,5.25,0,5,2025-07-31T15:45:50.429Z,
"Broadway Show","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,5,2025-07-31T15:45:50.429Z,
"Celebrity Gossip","Entertainment & Pop Culture",25.38,poor,[object Object],0,5,5.25,15,5,2025-07-31T15:45:50.429Z,
"Comic Con","Entertainment & Pop Culture",12.46,unacceptable,[object Object],0,5,7.75,0,4,2025-07-31T15:45:50.430Z,
"Disney","Entertainment & Pop Culture",33.92,poor,[object Object],0,5,3.5,25,2,2025-07-31T15:45:50.430Z,
"Disney Princess","Entertainment & Pop Culture",33.38,poor,[object Object],0,5,5.25,23,4,2025-07-31T15:45:50.430Z,
"Disney World","Entertainment & Pop Culture",44.02,acceptable,[object Object],0,13,6.5,23,3,2025-07-31T15:45:50.430Z,
"Disneyland Trip","Entertainment & Pop Culture",19.42,unacceptable,[object Object],0,5,6.5,8,4,2025-07-31T15:45:50.430Z,
"Drake Music Video","Entertainment & Pop Culture",38.73,poor,[object Object],0,5,11.67,23,6,2025-07-31T15:45:50.430Z,
"Facebook","Entertainment & Pop Culture",16.83,unacceptable,[object Object],0,5,1,10,85,2025-07-31T15:45:50.436Z,
"Fantasy Novel","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,88,2025-07-31T15:45:50.436Z,
"Frozen Movie","Entertainment & Pop Culture",31.63,poor,[object Object],0,5,12.75,15,88,2025-07-31T15:45:50.436Z,
"Google","Entertainment & Pop Culture",23.92,poor,[object Object],0,5,3.5,15,85,2025-07-31T15:45:50.436Z,
"Grammy Winner","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,87,2025-07-31T15:45:50.437Z,
"Grammys Night","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,87,2025-07-31T15:45:50.437Z,
"Harry Styles","Entertainment & Pop Culture",21.42,poor,[object Object],0,5,6.5,10,87,2025-07-31T15:45:50.437Z,
"Hollywood Red Carpet","Entertainment & Pop Culture",12.25,unacceptable,[object Object],0,5,7.5,0,88,2025-07-31T15:45:50.437Z,
"Hollywood Walk","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,87,2025-07-31T15:45:50.437Z,
"Instagram","Entertainment & Pop Culture",16.83,unacceptable,[object Object],0,5,1,10,84,2025-07-31T15:45:50.437Z,
"Instagram Influencer","Entertainment & Pop Culture",17.33,unacceptable,[object Object],0,5,4,8,87,2025-07-31T15:45:50.437Z,
"K-Pop Band","Entertainment & Pop Culture",13.50,unacceptable,[object Object],0,5,9,0,87,2025-07-31T15:45:50.437Z,
"K-Pop Dance","Entertainment & Pop Culture",12.46,unacceptable,[object Object],0,5,7.75,0,87,2025-07-31T15:45:50.437Z,
"Karaoke Night","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,87,2025-07-31T15:45:50.437Z,
"Kardashian Drama","Entertainment & Pop Culture",10.38,unacceptable,[object Object],0,5,5.25,0,86,2025-07-31T15:45:50.438Z,
"Kardashian Family","Entertainment & Pop Culture",35.67,poor,[object Object],0,20,14,0,84,2025-07-31T15:45:50.438Z,
"Late Night Show","Entertainment & Pop Culture",21.64,poor,[object Object],0,5,9.17,8,87,2025-07-31T15:45:50.438Z,
"Mario Kart","Entertainment & Pop Culture",12.46,unacceptable,[object Object],0,5,7.75,0,86,2025-07-31T15:45:50.438Z,
"Marvel Avengers","Entertainment & Pop Culture",18.38,unacceptable,[object Object],0,5,5.25,8,86,2025-07-31T15:45:50.438Z,
"Marvel Comics","Entertainment & Pop Culture",19.42,unacceptable,[object Object],0,5,6.5,8,86,2025-07-31T15:45:50.438Z,
"Marvel Movies","Entertainment & Pop Culture",19.42,unacceptable,[object Object],0,5,6.5,8,86,2025-07-31T15:45:50.438Z,
"Marvel Superhero","Entertainment & Pop Culture",18.38,unacceptable,[object Object],0,5,5.25,8,86,2025-07-31T15:45:50.438Z,
"Marvel Superheroes","Entertainment & Pop Culture",18.38,unacceptable,[object Object],0,5,5.25,8,86,2025-07-31T15:45:50.438Z,
"Marvel Universe","Entertainment & Pop Culture",18.38,unacceptable,[object Object],0,5,5.25,8,86,2025-07-31T15:45:50.438Z,
"Mickey Mouse","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,86,2025-07-31T15:45:50.438Z,
"NASA","Entertainment & Pop Culture",11.00,unacceptable,[object Object],0,5,6,0,83,2025-07-31T15:45:50.438Z,
"Netflix","Entertainment & Pop Culture",33.92,poor,[object Object],0,5,3.5,25,83,2025-07-31T15:45:50.438Z,
"Netflix Binge","Entertainment & Pop Culture",34.42,poor,[object Object],0,5,6.5,23,86,2025-07-31T15:45:50.438Z,
"Netflix Series","Entertainment & Pop Culture",34.42,poor,[object Object],0,5,6.5,23,86,2025-07-31T15:45:50.438Z,
"Oscar Acceptance","Entertainment & Pop Culture",10.38,unacceptable,[object Object],0,5,5.25,0,85,2025-07-31T15:45:50.439Z,
"Oscar Night","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,85,2025-07-31T15:45:50.439Z,
"Oscar Nominee","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,85,2025-07-31T15:45:50.439Z,
"Oscar Statue","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,85,2025-07-31T15:45:50.439Z,
"Oscar Trophy","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,85,2025-07-31T15:45:50.439Z,
"Oscar Winner","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,85,2025-07-31T15:45:50.439Z,
"Oscars Ceremony","Entertainment & Pop Culture",19.98,unacceptable,[object Object],0,13,5.25,0,83,2025-07-31T15:45:50.439Z,
"Pop Concert","Entertainment & Pop Culture",23.58,poor,[object Object],0,5,11.5,8,85,2025-07-31T15:45:50.439Z,
"Pop Music","Entertainment & Pop Culture",52.67,acceptable,[object Object],10,5,14,25,85,2025-07-31T15:45:50.439Z,
"Popcorn Movie","Entertainment & Pop Culture",31.63,poor,[object Object],0,5,12.75,15,85,2025-07-31T15:45:50.439Z,
"Reality Show","Entertainment & Pop Culture",12.46,unacceptable,[object Object],0,5,7.75,0,85,2025-07-31T15:45:50.439Z,
"Reality TV","Entertainment & Pop Culture",22.46,poor,[object Object],0,5,7.75,10,85,2025-07-31T15:45:50.440Z,
"Reality TV Show","Entertainment & Pop Culture",21.64,poor,[object Object],0,5,9.17,8,85,2025-07-31T15:45:50.440Z,
"Red Carpet","Entertainment & Pop Culture",12.46,unacceptable,[object Object],0,5,7.75,0,84,2025-07-31T15:45:50.440Z,
"SpaceX","Entertainment & Pop Culture",8.92,unacceptable,[object Object],0,5,3.5,0,81,2025-07-31T15:45:50.440Z,
"Spider-Man Costume","Entertainment & Pop Culture",10.38,unacceptable,[object Object],0,5,5.25,0,85,2025-07-31T15:45:50.440Z,
"Squid Game","Entertainment & Pop Culture",31.63,poor,[object Object],0,5,12.75,15,84,2025-07-31T15:45:50.440Z,
"Star Wars","Entertainment & Pop Culture",41.50,acceptable,[object Object],0,20,9,10,82,2025-07-31T15:45:50.440Z,
"Streaming Platform","Entertainment & Pop Culture",9.33,unacceptable,[object Object],0,5,4,0,84,2025-07-31T15:45:50.440Z,
"Streaming Service","Entertainment & Pop Culture",13.50,unacceptable,[object Object],0,5,9,0,84,2025-07-31T15:45:50.440Z,
"Super Bowl","Entertainment & Pop Culture",22.46,poor,[object Object],0,5,7.75,10,83,2025-07-31T15:45:50.441Z,
"Super Bowl Halftime","Entertainment & Pop Culture",20.25,poor,[object Object],0,5,7.5,8,9,2025-07-31T15:45:50.525Z,
"Super Mario","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,9,2025-07-31T15:45:50.525Z,
"Superhero Movie","Entertainment & Pop Culture",30.58,poor,[object Object],0,5,11.5,15,9,2025-07-31T15:45:50.525Z,
"Superman Cape","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,9,2025-07-31T15:45:50.525Z,
"Tesla","Entertainment & Pop Culture",8.92,unacceptable,[object Object],0,5,3.5,0,6,2025-07-31T15:45:50.525Z,
"The Weeknd","Entertainment & Pop Culture",20.79,poor,[object Object],0,5,17.75,0,9,2025-07-31T15:45:50.525Z,
"TikTok","Entertainment & Pop Culture",33.92,poor,[object Object],0,5,3.5,25,5,2025-07-31T15:45:50.526Z,
"TikTok Challenge","Entertainment & Pop Culture",27.38,poor,[object Object],0,0,5.25,23,8,2025-07-31T15:45:50.526Z,
"TikTok Dance","Entertainment & Pop Culture",34.42,poor,[object Object],0,5,6.5,23,8,2025-07-31T15:45:50.526Z,
"TikTok Dances","Entertainment & Pop Culture",34.42,poor,[object Object],0,5,6.5,23,8,2025-07-31T15:45:50.526Z,
"TikTok Trends","Entertainment & Pop Culture",34.42,poor,[object Object],0,5,6.5,23,8,2025-07-31T15:45:50.526Z,
"Video Game","Entertainment & Pop Culture",41.63,acceptable,[object Object],10,5,12.75,15,8,2025-07-31T15:45:50.526Z,
"Video Game Streamer","Entertainment & Pop Culture",30.03,poor,[object Object],0,5,10.83,15,8,2025-07-31T15:45:50.526Z,
"YouTube","Entertainment & Pop Culture",18.92,unacceptable,[object Object],0,5,3.5,10,4,2025-07-31T15:45:50.527Z,
"YouTube Channel","Entertainment & Pop Culture",21.42,poor,[object Object],0,5,6.5,10,7,2025-07-31T15:45:50.527Z,
"YouTube Star","Entertainment & Pop Culture",38.46,poor,[object Object],0,20,7.75,8,5,2025-07-31T15:45:50.527Z,
"Air","Everything",11.00,unacceptable,[object Object],0,5,6,0,4,2025-07-31T15:45:50.527Z,
"Amusement Park","Everything",15.58,unacceptable,[object Object],0,5,11.5,0,7,2025-07-31T15:45:50.527Z,
