phrase,category,final_score,quality_classification,decision,distinctiveness_score,describability_score,legacy_heuristics_score,cultural_validation_score,duration_ms,timestamp,error
"Evening Gown","Clothing & Fashion",12.46,unacceptable,[object Object],0,5,7.75,0,10,2025-07-31T15:53:10.349Z,
"Fashion Magazine","Clothing & Fashion",20.38,poor,[object Object],0,5,5.25,10,10,2025-07-31T15:53:10.349Z,
"Fashion Runway","Clothing & Fashion",21.42,poor,[object Object],0,5,6.5,10,10,2025-07-31T15:53:10.349Z,
"Fedora Hat","Clothing & Fashion",30.46,poor,[object Object],0,20,7.75,0,9,2025-07-31T15:53:10.350Z,
"High Heel Shoes","Clothing & Fashion",37.19,poor,[object Object],0,20,15.83,0,64,2025-07-31T15:53:10.359Z,
"High Heels","Clothing & Fashion",38.79,poor,[object Object],0,20,17.75,0,64,2025-07-31T15:53:10.359Z,
"Leather Belt","Clothing & Fashion",30.46,poor,[object Object],0,20,7.75,0,64,2025-07-31T15:53:10.359Z,
"Leather Boots","Clothing & Fashion",29.42,poor,[object Object],0,20,6.5,0,64,2025-07-31T15:53:10.359Z,
"Leather Jacket","Clothing & Fashion",29.42,poor,[object Object],0,20,6.5,0,64,2025-07-31T15:53:10.359Z,
"Little Black Dress","Clothing & Fashion",30.25,poor,[object Object],0,20,7.5,0,64,2025-07-31T15:53:10.359Z,
"Patterned Socks","Clothing & Fashion",28.38,poor,[object Object],0,20,5.25,0,64,2025-07-31T15:53:10.359Z,
"Plaid Shirt","Clothing & Fashion",29.42,poor,[object Object],0,20,6.5,0,64,2025-07-31T15:53:10.359Z,
"Running Shoes","Clothing & Fashion",42.63,acceptable,[object Object],0,20,12.75,8,64,2025-07-31T15:53:10.359Z,
"Runway Model","Clothing & Fashion",5.42,unacceptable,[object Object],0,0,6.5,0,64,2025-07-31T15:53:10.359Z,
"Shopping Spree","Clothing & Fashion",29.98,poor,[object Object],0,13,5.25,10,64,2025-07-31T15:53:10.359Z,
"Silk Scarf","Clothing & Fashion",30.46,poor,[object Object],0,20,7.75,0,64,2025-07-31T15:53:10.359Z,
"Skinny Jeans","Clothing & Fashion",29.42,poor,[object Object],0,20,6.5,0,64,2025-07-31T15:53:10.359Z,
"Sneaker Collection","Clothing & Fashion",10.38,unacceptable,[object Object],0,5,5.25,0,64,2025-07-31T15:53:10.359Z,
"Sweater Vest","Clothing & Fashion",30.46,poor,[object Object],0,20,7.75,0,63,2025-07-31T15:53:10.360Z,
"Trench Coat","Clothing & Fashion",30.46,poor,[object Object],0,20,7.75,0,63,2025-07-31T15:53:10.360Z,
"Trendy Sunglasses","Clothing & Fashion",19.98,unacceptable,[object Object],0,13,5.25,0,63,2025-07-31T15:53:10.360Z,
"Turtleneck Sweater","Clothing & Fashion",28.38,poor,[object Object],0,20,5.25,0,63,2025-07-31T15:53:10.360Z,
"Vintage Clothing","Clothing & Fashion",19.98,unacceptable,[object Object],0,13,5.25,0,63,2025-07-31T15:53:10.360Z,
"Vintage Hat","Clothing & Fashion",30.46,poor,[object Object],0,20,7.75,0,63,2025-07-31T15:53:10.360Z,
"Wedding Dress","Clothing & Fashion",29.42,poor,[object Object],0,20,6.5,0,63,2025-07-31T15:53:10.360Z,
"Winter Coat","Clothing & Fashion",30.46,poor,[object Object],0,20,7.75,0,63,2025-07-31T15:53:10.360Z,
"Wool Sweater","Clothing & Fashion",30.46,poor,[object Object],0,20,7.75,0,63,2025-07-31T15:53:10.360Z,
"Angry Face","Emotions & Feelings",27.27,poor,[object Object],0,13,14,0,63,2025-07-31T15:53:10.360Z,
"Angry Outburst","Emotions & Feelings",25.18,poor,[object Object],0,13,11.5,0,63,2025-07-31T15:53:10.360Z,
"Angry Stomp","Emotions & Feelings",16.63,unacceptable,[object Object],0,5,12.75,0,62,2025-07-31T15:53:10.361Z,
"Blushing Cheeks","Emotions & Feelings",10.38,unacceptable,[object Object],0,5,5.25,0,62,2025-07-31T15:53:10.361Z,
"Blushing Face","Emotions & Feelings",21.02,poor,[object Object],0,13,6.5,0,62,2025-07-31T15:53:10.361Z,
"Bored Yawn","Emotions & Feelings",22.06,poor,[object Object],0,13,7.75,0,62,2025-07-31T15:53:10.361Z,
"Bubbling Excitement","Emotions & Feelings",18.93,unacceptable,[object Object],0,13,4,0,62,2025-07-31T15:53:10.361Z,
"Burst of Laughter","Emotions & Feelings",27.41,poor,[object Object],0,13,14.17,0,62,2025-07-31T15:53:10.361Z,
"Bursting with Pride","Emotions & Feelings",27.41,poor,[object Object],0,13,14.17,0,62,2025-07-31T15:53:10.361Z,
"Calm and Collected","Emotions & Feelings",28.10,poor,[object Object],0,13,15,0,61,2025-07-31T15:53:10.362Z,
"Confused Look","Emotions & Feelings",21.02,poor,[object Object],0,13,6.5,0,61,2025-07-31T15:53:10.362Z,
"Content Smile","Emotions & Feelings",5.42,unacceptable,[object Object],0,0,6.5,0,61,2025-07-31T15:53:10.362Z,
"Crying Baby","Emotions & Feelings",28.31,poor,[object Object],0,13,15.25,0,61,2025-07-31T15:53:10.362Z,
"Crying Tears","Emotions & Feelings",21.02,poor,[object Object],0,13,6.5,0,61,2025-07-31T15:53:10.362Z,
"Crying with Laughter","Emotions & Feelings",27.41,poor,[object Object],0,13,14.17,0,61,2025-07-31T15:53:10.362Z,
"Deeply Moved","Emotions & Feelings",21.02,poor,[object Object],0,13,6.5,0,61,2025-07-31T15:53:10.362Z,
"Excited Cheer","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,61,2025-07-31T15:53:10.362Z,
"Excited Jump","Emotions & Feelings",12.46,unacceptable,[object Object],0,5,7.75,0,61,2025-07-31T15:53:10.362Z,
"Fearful Scream","Emotions & Feelings",29.42,poor,[object Object],0,20,6.5,0,60,2025-07-31T15:53:10.363Z,
"Fearful Shiver","Emotions & Feelings",21.02,poor,[object Object],0,13,6.5,0,60,2025-07-31T15:53:10.363Z,
"Feeling Anxious","Emotions & Feelings",5.42,unacceptable,[object Object],0,0,6.5,0,60,2025-07-31T15:53:10.363Z,
"Feeling Blue","Emotions & Feelings",6.46,unacceptable,[object Object],0,0,7.75,0,60,2025-07-31T15:53:10.363Z,
"Feeling Loved","Emotions & Feelings",9.02,unacceptable,[object Object],0,3,6.5,0,60,2025-07-31T15:53:10.363Z,
"Feeling Peaceful","Emotions & Feelings",4.38,unacceptable,[object Object],0,0,5.25,0,60,2025-07-31T15:53:10.363Z,
"Feeling Proud","Emotions & Feelings",5.42,unacceptable,[object Object],0,0,6.5,0,60,2025-07-31T15:53:10.363Z,
"Feeling Sad","Emotions & Feelings",10.63,unacceptable,[object Object],0,0,12.75,0,60,2025-07-31T15:53:10.363Z,
"Frustrated Grunt","Emotions & Feelings",19.98,unacceptable,[object Object],0,13,5.25,0,60,2025-07-31T15:53:10.363Z,
"Green with Envy","Emotions & Feelings",28.79,poor,[object Object],0,13,15.83,0,9,2025-07-31T15:53:10.423Z,
"Grinning Ear-to-Ear","Emotions & Feelings",27.33,poor,[object Object],0,20,4,0,8,2025-07-31T15:53:10.424Z,
"Guilty Face","Emotions & Feelings",22.06,poor,[object Object],0,13,7.75,0,8,2025-07-31T15:53:10.424Z,
"Happy Dance","Emotions & Feelings",26.23,poor,[object Object],0,13,12.75,0,8,2025-07-31T15:53:10.424Z,
"Head Over Heels","Emotions & Feelings",31.64,poor,[object Object],0,20,9.17,0,8,2025-07-31T15:53:10.424Z,
"Heart Break","Emotions & Feelings",21.02,poor,[object Object],0,13,6.5,0,8,2025-07-31T15:53:10.424Z,
"Heartfelt Hug","Emotions & Feelings",21.02,poor,[object Object],0,13,6.5,0,8,2025-07-31T15:53:10.424Z,
"Hopeful Wish","Emotions & Feelings",12.46,unacceptable,[object Object],0,5,7.75,0,8,2025-07-31T15:53:10.424Z,
"Jealous Glare","Emotions & Feelings",21.02,poor,[object Object],0,13,6.5,0,8,2025-07-31T15:53:10.424Z,
"Jumping For Joy","Emotions & Feelings",19.19,unacceptable,[object Object],0,5,15.83,0,8,2025-07-31T15:53:10.424Z,
"Jumping for Joy","Emotions & Feelings",19.19,unacceptable,[object Object],0,5,15.83,0,8,2025-07-31T15:53:10.424Z,
"Laughing Out Loud","Emotions & Feelings",22.54,poor,[object Object],0,13,8.33,0,7,2025-07-31T15:53:10.425Z,
"Love Struck","Emotions & Feelings",18.71,unacceptable,[object Object],0,5,15.25,0,7,2025-07-31T15:53:10.425Z,
"Madly in Love","Emotions & Feelings",23.36,poor,[object Object],0,5,20.83,0,7,2025-07-31T15:53:10.425Z,
"Nervous Sweat","Emotions & Feelings",21.02,poor,[object Object],0,13,6.5,0,7,2025-07-31T15:53:10.425Z,
"Nervous Sweats","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,7,2025-07-31T15:53:10.425Z,
"Nervous Twitch","Emotions & Feelings",19.42,unacceptable,[object Object],0,5,6.5,8,7,2025-07-31T15:53:10.425Z,
"Nervous Wreck","Emotions & Feelings",21.02,poor,[object Object],0,13,6.5,0,7,2025-07-31T15:53:10.425Z,
"On Cloud Nine","Emotions & Feelings",19.19,unacceptable,[object Object],0,5,15.83,0,7,2025-07-31T15:53:10.425Z,
"Over the Moon","Emotions & Feelings",29.49,poor,[object Object],0,13,16.67,0,7,2025-07-31T15:53:10.425Z,
"Panic Attack","Emotions & Feelings",11.42,unacceptable,[object Object],0,5,6.5,0,7,2025-07-31T15:53:10.425Z,
"Proud Moment","Emotions & Feelings",5.42,unacceptable,[object Object],0,0,6.5,0,7,2025-07-31T15:53:10.425Z,
"Proud Pose","Emotions & Feelings",22.06,poor,[object Object],0,13,7.75,0,7,2025-07-31T15:53:10.425Z,
"Radiating Happiness","Emotions & Feelings",9.33,unacceptable,[object Object],0,5,4,0,7,2025-07-31T15:53:10.425Z,
"Red with Rage","Emotions & Feelings",29.49,poor,[object Object],0,13,16.67,0,7,2025-07-31T15:53:10.425Z,
"Scared Scream","Emotions & Feelings",29.42,poor,[object Object],0,20,6.5,0,7,2025-07-31T15:53:10.425Z,
"Shaking with Fear","Emotions & Feelings",19.19,unacceptable,[object Object],0,5,15.83,0,7,2025-07-31T15:53:10.425Z,
"Shocked Expression","Emotions & Feelings",10.38,unacceptable,[object Object],0,5,5.25,0,6,2025-07-31T15:53:10.426Z,
"Shy Smile","Emotions & Feelings",12.46,unacceptable,[object Object],0,5,7.75,0,6,2025-07-31T15:53:10.426Z,
"Sigh Of Relief","Emotions & Feelings",28.79,poor,[object Object],0,13,15.83,0,6,2025-07-31T15:53:10.426Z,
"Surprised Face","Emotions & Feelings",29.42,poor,[object Object],0,20,6.5,0,6,2025-07-31T15:53:10.426Z,
"Action Figure","Entertainment & Pop Culture",21.02,poor,[object Object],0,13,6.5,0,6,2025-07-31T15:53:10.426Z,
"Adele Album","Entertainment & Pop Culture",21.02,poor,[object Object],0,13,6.5,0,6,2025-07-31T15:53:10.426Z,
"Amazon","Entertainment & Pop Culture",58.52,acceptable,[object Object],25,13,3.5,15,3,2025-07-31T15:53:10.426Z,
"Apple","Entertainment & Pop Culture",66.52,good,[object Object],25,13,3.5,23,3,2025-07-31T15:53:10.426Z,
"Avengers Endgame","Entertainment & Pop Culture",36.38,poor,[object Object],0,20,5.25,8,6,2025-07-31T15:53:10.426Z,
"Avengers Movie","Entertainment & Pop Culture",56.58,acceptable,[object Object],0,20,11.5,23,6,2025-07-31T15:53:10.426Z,
"Beyonce Concert","Entertainment & Pop Culture",22.54,poor,[object Object],0,5,10.25,8,6,2025-07-31T15:53:10.426Z,
"Billie Eilish","Entertainment & Pop Culture",31.02,poor,[object Object],0,13,6.5,10,6,2025-07-31T15:53:10.426Z,
"Binge Watching","Entertainment & Pop Culture",19.98,unacceptable,[object Object],0,13,5.25,0,6,2025-07-31T15:53:10.426Z,
"Blockbuster Hit","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,6,2025-07-31T15:53:10.426Z,
"Broadway Musical","Entertainment & Pop Culture",28.38,poor,[object Object],0,20,5.25,0,6,2025-07-31T15:53:10.426Z,
"Broadway Show","Entertainment & Pop Culture",21.02,poor,[object Object],0,13,6.5,0,6,2025-07-31T15:53:10.426Z,
"Celebrity Gossip","Entertainment & Pop Culture",25.38,poor,[object Object],0,5,5.25,15,5,2025-07-31T15:53:10.427Z,
"Comic Con","Entertainment & Pop Culture",12.46,unacceptable,[object Object],0,5,7.75,0,5,2025-07-31T15:53:10.427Z,
"Disney","Entertainment & Pop Culture",68.52,good,[object Object],25,13,3.5,25,2,2025-07-31T15:53:10.427Z,
"Disney Princess","Entertainment & Pop Culture",42.98,acceptable,[object Object],0,13,5.25,23,5,2025-07-31T15:53:10.427Z,
"Disney World","Entertainment & Pop Culture",44.02,acceptable,[object Object],0,13,6.5,23,5,2025-07-31T15:53:10.427Z,
"Disneyland Trip","Entertainment & Pop Culture",29.02,poor,[object Object],0,13,6.5,8,5,2025-07-31T15:53:10.427Z,
"Drake Music Video","Entertainment & Pop Culture",56.73,acceptable,[object Object],0,20,11.67,23,5,2025-07-31T15:53:10.427Z,
"Facebook","Entertainment & Pop Culture",51.43,acceptable,[object Object],25,13,1,10,70,2025-07-31T15:53:10.432Z,
"Fantasy Novel","Entertainment & Pop Culture",21.02,poor,[object Object],0,13,6.5,0,72,2025-07-31T15:53:10.432Z,
"Frozen Movie","Entertainment & Pop Culture",49.63,acceptable,[object Object],0,20,12.75,15,72,2025-07-31T15:53:10.432Z,
"Google","Entertainment & Pop Culture",58.52,acceptable,[object Object],25,13,3.5,15,70,2025-07-31T15:53:10.432Z,
"Grammy Winner","Entertainment & Pop Culture",21.02,poor,[object Object],0,13,6.5,0,72,2025-07-31T15:53:10.432Z,
"Grammys Night","Entertainment & Pop Culture",21.02,poor,[object Object],0,13,6.5,0,72,2025-07-31T15:53:10.432Z,
"Harry Styles","Entertainment & Pop Culture",31.02,poor,[object Object],0,13,6.5,10,71,2025-07-31T15:53:10.433Z,
"Hollywood Red Carpet","Entertainment & Pop Culture",30.25,poor,[object Object],0,20,7.5,0,71,2025-07-31T15:53:10.433Z,
"Hollywood Walk","Entertainment & Pop Culture",29.42,poor,[object Object],0,20,6.5,0,71,2025-07-31T15:53:10.433Z,
"Instagram","Entertainment & Pop Culture",26.43,poor,[object Object],0,13,1,10,71,2025-07-31T15:53:10.433Z,
"Instagram Influencer","Entertainment & Pop Culture",26.93,poor,[object Object],0,13,4,8,71,2025-07-31T15:53:10.433Z,
"K-Pop Band","Entertainment & Pop Culture",23.10,poor,[object Object],0,13,9,0,70,2025-07-31T15:53:10.434Z,
"K-Pop Dance","Entertainment & Pop Culture",30.46,poor,[object Object],0,20,7.75,0,70,2025-07-31T15:53:10.434Z,
"Karaoke Night","Entertainment & Pop Culture",21.02,poor,[object Object],0,13,6.5,0,70,2025-07-31T15:53:10.434Z,
"Kardashian Drama","Entertainment & Pop Culture",10.38,unacceptable,[object Object],0,5,5.25,0,70,2025-07-31T15:53:10.434Z,
"Kardashian Family","Entertainment & Pop Culture",17.67,unacceptable,[object Object],0,5,14,0,70,2025-07-31T15:53:10.434Z,
"Late Night Show","Entertainment & Pop Culture",31.24,poor,[object Object],0,13,9.17,8,70,2025-07-31T15:53:10.434Z,
"Mario Kart","Entertainment & Pop Culture",12.46,unacceptable,[object Object],0,5,7.75,0,70,2025-07-31T15:53:10.434Z,
"Marvel Avengers","Entertainment & Pop Culture",36.38,poor,[object Object],0,20,5.25,8,70,2025-07-31T15:53:10.434Z,
"Marvel Comics","Entertainment & Pop Culture",29.02,poor,[object Object],0,13,6.5,8,70,2025-07-31T15:53:10.434Z,
"Marvel Movies","Entertainment & Pop Culture",37.42,poor,[object Object],0,20,6.5,8,70,2025-07-31T15:53:10.434Z,
"Marvel Superhero","Entertainment & Pop Culture",36.38,poor,[object Object],0,20,5.25,8,70,2025-07-31T15:53:10.434Z,
"Marvel Superheroes","Entertainment & Pop Culture",27.98,poor,[object Object],0,13,5.25,8,70,2025-07-31T15:53:10.434Z,
"Marvel Universe","Entertainment & Pop Culture",27.98,poor,[object Object],0,13,5.25,8,69,2025-07-31T15:53:10.435Z,
"Mickey Mouse","Entertainment & Pop Culture",29.42,poor,[object Object],0,20,6.5,0,69,2025-07-31T15:53:10.435Z,
"NASA","Entertainment & Pop Culture",20.60,poor,[object Object],0,13,6,0,69,2025-07-31T15:53:10.435Z,
"Netflix","Entertainment & Pop Culture",68.52,good,[object Object],25,13,3.5,25,67,2025-07-31T15:53:10.435Z,
"Netflix Binge","Entertainment & Pop Culture",44.02,acceptable,[object Object],0,13,6.5,23,69,2025-07-31T15:53:10.435Z,
"Netflix Series","Entertainment & Pop Culture",44.02,acceptable,[object Object],0,13,6.5,23,69,2025-07-31T15:53:10.435Z,
"Oscar Acceptance","Entertainment & Pop Culture",28.38,poor,[object Object],0,20,5.25,0,69,2025-07-31T15:53:10.435Z,
"Oscar Night","Entertainment & Pop Culture",21.02,poor,[object Object],0,13,6.5,0,69,2025-07-31T15:53:10.435Z,
"Oscar Nominee","Entertainment & Pop Culture",29.42,poor,[object Object],0,20,6.5,0,69,2025-07-31T15:53:10.435Z,
"Oscar Statue","Entertainment & Pop Culture",29.42,poor,[object Object],0,20,6.5,0,69,2025-07-31T15:53:10.435Z,
"Oscar Trophy","Entertainment & Pop Culture",29.42,poor,[object Object],0,20,6.5,0,69,2025-07-31T15:53:10.435Z,
"Oscar Winner","Entertainment & Pop Culture",29.42,poor,[object Object],0,20,6.5,0,69,2025-07-31T15:53:10.435Z,
"Oscars Ceremony","Entertainment & Pop Culture",28.38,poor,[object Object],0,20,5.25,0,69,2025-07-31T15:53:10.435Z,
"Pop Concert","Entertainment & Pop Culture",33.18,poor,[object Object],0,13,11.5,8,69,2025-07-31T15:53:10.435Z,
"Pop Music","Entertainment & Pop Culture",70.67,good,[object Object],10,20,14,25,69,2025-07-31T15:53:10.435Z,
"Popcorn Movie","Entertainment & Pop Culture",49.63,acceptable,[object Object],0,20,12.75,15,68,2025-07-31T15:53:10.436Z,
"Reality Show","Entertainment & Pop Culture",12.46,unacceptable,[object Object],0,5,7.75,0,68,2025-07-31T15:53:10.436Z,
"Reality TV","Entertainment & Pop Culture",32.06,poor,[object Object],0,13,7.75,10,68,2025-07-31T15:53:10.436Z,
"Reality TV Show","Entertainment & Pop Culture",21.64,poor,[object Object],0,5,9.17,8,68,2025-07-31T15:53:10.436Z,
"Red Carpet","Entertainment & Pop Culture",30.46,poor,[object Object],0,20,7.75,0,68,2025-07-31T15:53:10.436Z,
"SpaceX","Entertainment & Pop Culture",8.92,unacceptable,[object Object],0,5,3.5,0,68,2025-07-31T15:53:10.436Z,
"Spider-Man Costume","Entertainment & Pop Culture",10.38,unacceptable,[object Object],0,5,5.25,0,68,2025-07-31T15:53:10.436Z,
"Squid Game","Entertainment & Pop Culture",49.63,acceptable,[object Object],0,20,12.75,15,68,2025-07-31T15:53:10.436Z,
"Star Wars","Entertainment & Pop Culture",23.50,poor,[object Object],0,5,9,10,68,2025-07-31T15:53:10.436Z,
"Streaming Platform","Entertainment & Pop Culture",18.93,unacceptable,[object Object],0,13,4,0,68,2025-07-31T15:53:10.436Z,
"Streaming Service","Entertainment & Pop Culture",31.50,poor,[object Object],0,20,9,0,68,2025-07-31T15:53:10.436Z,
"Super Bowl","Entertainment & Pop Culture",32.06,poor,[object Object],0,13,7.75,10,68,2025-07-31T15:53:10.436Z,
"Super Bowl Halftime","Entertainment & Pop Culture",20.25,poor,[object Object],0,5,7.5,8,10,2025-07-31T15:53:10.504Z,
"Super Mario","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,10,2025-07-31T15:53:10.504Z,
"Superhero Movie","Entertainment & Pop Culture",48.58,acceptable,[object Object],0,20,11.5,15,10,2025-07-31T15:53:10.504Z,
"Superman Cape","Entertainment & Pop Culture",11.42,unacceptable,[object Object],0,5,6.5,0,10,2025-07-31T15:53:10.504Z,
"Tesla","Entertainment & Pop Culture",43.52,acceptable,[object Object],25,13,3.5,0,6,2025-07-31T15:53:10.504Z,
"The Weeknd","Entertainment & Pop Culture",30.39,poor,[object Object],0,13,17.75,0,10,2025-07-31T15:53:10.504Z,
"TikTok","Entertainment & Pop Culture",51.92,acceptable,[object Object],0,20,3.5,25,10,2025-07-31T15:53:10.504Z,
"TikTok Challenge","Entertainment & Pop Culture",30.98,poor,[object Object],0,3,5.25,23,9,2025-07-31T15:53:10.505Z,
"TikTok Dance","Entertainment & Pop Culture",52.42,acceptable,[object Object],0,20,6.5,23,9,2025-07-31T15:53:10.505Z,
"TikTok Dances","Entertainment & Pop Culture",52.42,acceptable,[object Object],0,20,6.5,23,9,2025-07-31T15:53:10.505Z,
"TikTok Trends","Entertainment & Pop Culture",44.02,acceptable,[object Object],0,13,6.5,23,9,2025-07-31T15:53:10.505Z,
"Video Game","Entertainment & Pop Culture",74.63,good,[object Object],25,20,12.75,15,5,2025-07-31T15:53:10.505Z,
"Video Game Streamer","Entertainment & Pop Culture",48.03,acceptable,[object Object],0,20,10.83,15,9,2025-07-31T15:53:10.505Z,
"YouTube","Entertainment & Pop Culture",28.52,poor,[object Object],0,13,3.5,10,9,2025-07-31T15:53:10.505Z,
"YouTube Channel","Entertainment & Pop Culture",31.02,poor,[object Object],0,13,6.5,10,9,2025-07-31T15:53:10.505Z,
"YouTube Star","Entertainment & Pop Culture",30.06,poor,[object Object],0,13,7.75,8,9,2025-07-31T15:53:10.505Z,
"Air","Everything",29.00,poor,[object Object],0,20,6,0,9,2025-07-31T15:53:10.505Z,
"Amusement Park","Everything",33.58,poor,[object Object],0,20,11.5,0,9,2025-07-31T15:53:10.505Z,
"Baking Cookies","Everything",29.02,poor,[object Object],0,13,6.5,8,8,2025-07-31T15:53:10.506Z,
"Ballet Dance","Everything",29.42,poor,[object Object],0,20,6.5,0,8,2025-07-31T15:53:10.506Z,
"Big Bang Theory","Everything",28.79,poor,[object Object],0,13,15.83,0,8,2025-07-31T15:53:10.506Z,
"Birthday Cake","Everything",41.58,acceptable,[object Object],0,20,11.5,8,8,2025-07-31T15:53:10.506Z,
